Category,Label,2026-Q1,2025-Q4,2025-Q3,2025-Q2,2025-Q1,2024-Q4,2024-Q3,2024-Q2,2024-Q1,2023-Q4,2023-Q3,2023-Q2,2023-Q1,2022-Q4,2022-Q3,2022-Q2,2022-Q1,2021-Q4,2021-Q3,2021-Q2,2021-Q1,2020-Q4,2020-Q3,2020-Q2,2020-Q1,2019-Q4,2019-Q3,2019-Q2,2019-Q1,2018-Q4,2018-Q3,2018-Q2,2018-Q1,2017-Q4,2017-Q3,2017-Q2,2017-Q1,2016-Q4,2016-Q3,2016-Q2,2016-Q1,2015-Q4,2015-Q3,2015-Q2,2015-Q1,2014-Q4,2014-Q3,2014-Q2,2014-Q1,2013-Q4,2013-Q3,2013-Q2,2013-Q1,2012-Q4,2012-Q3,2012-Q2,2012-Q1,2011-Q4,2011-Q3,2011-Q2,2011-Q1
1_Income_Statement,Total Operating Expenses,3491000000.0,3896000000.0,3541000000.0,3356000000.0,3101000000.0,3551000000.0,3365000000.0,2925000000.0,2744000000.0,3176000000.0,2689000000.0,2613000000.0,2612000000.0,2633000000.0,2644000000.0,2479000000.0,2217000000.0,2389000000.0,2268000000.0,2187000000.0,1958000000.0,2062000000.0,1732000000.0,1628000000.0,1798000000.0,2015000000.0,1812000000.0,1716000000.0,1676000000.0,2573000000.0,1611000000.0,1729000000.0,1755000000.0,1790000000.0,1457000000.0,1400000000.0,1228000000.0,1393000000.0,1210000000.0,1314000000.0,1098000000.0,1410000000.0,1161000000.0,1139000000.0,879000000.0,1393000000.0,1070000000.0,985000000.0,887000000.0,685000000.0,701000000.0,621000000.0,608000000.0,639000000.0,620000000.0,591000000.0,579000000.0,1738000000.0,816000000.0,782000000.0,665000000.0
1_Income_Statement,Operating Income: Other Adjustments,-153000000.0,-319000000.0,-245000000.0,-213000000.0,-152000000.0,-295000000.0,-220000000.0,-184000000.0,-116000000.0,-264000000.0,-193000000.0,-201000000.0,-167000000.0,-216000000.0,-182000000.0,-210000000.0,-181000000.0,-338000000.0,-222000000.0,-216000000.0,-119000000.0,-242000000.0,-168000000.0,-93000000.0,-154000000.0,-290000000.0,-227000000.0,-225000000.0,-192000000.0,-303000000.0,-203000000.0,-205000000.0,-197000000.0,-184000000.0,-203000000.0,-214000000.0,-170000000.0,-195000000.0,-184000000.0,-184000000.0,-135000000.0,-319000000.0,-184000000.0,-176000000.0,-142000000.0,-337000000.0,-203000000.0,-173000000.0,-149000000.0,-355000000.0,-205000000.0,-186000000.0,-129000000.0,-295000000.0,-176000000.0,-179000000.0,-125000000.0,-1738000000.0,-816000000.0,-782000000.0,-665000000.0
1_Income_Statement,Operating Income,4907000000.0,4910000000.0,5061000000.0,4777000000.0,4149000000.0,3938000000.0,4004000000.0,4036000000.0,3604000000.0,3372000000.0,3844000000.0,3656000000.0,3136000000.0,3184000000.0,3112000000.0,3018000000.0,2950000000.0,2827000000.0,2717000000.0,2341000000.0,2197000000.0,2058000000.0,2105000000.0,1707000000.0,2211000000.0,2399000000.0,2655000000.0,2397000000.0,2213000000.0,1234000000.0,2287000000.0,1936000000.0,1825000000.0,1522000000.0,1941000000.0,1653000000.0,1506000000.0,1363000000.0,1670000000.0,1380000000.0,1348000000.0,1107000000.0,1369000000.0,1251000000.0,1351000000.0,1018000000.0,1420000000.0,1383000000.0,1285000000.0,920000000.0,1248000000.0,1228000000.0,1107000000.0,899000000.0,1064000000.0,974000000.0,1000000000.0,-10000000.0,1002000000.0,885000000.0,836000000.0
1_Income_Statement,Interest Expense,185000000.0,159000000.0,186000000.0,195000000.0,182000000.0,184000000.0,159000000.0,153000000.0,150000000.0,148000000.0,151000000.0,144000000.0,132000000.0,127000000.0,120000000.0,114000000.0,110000000.0,108000000.0,110000000.0,106000000.0,107000000.0,105000000.0,105000000.0,101000000.0,69000000.0,64000000.0,63000000.0,51000000.0,46000000.0,47000000.0,48000000.0,48000000.0,43000000.0,41000000.0,35000000.0,39000000.0,39000000.0,30000000.0,23000000.0,22000000.0,20000000.0,12000000.0,15000000.0,17000000.0,17000000.0,16000000.0,11000000.0,15000000.0,6000000.0,7000000.0,-3000000.0,5000000.0,5000000.0,7000000.0,4000000.0,3000000.0,6000000.0,,,,
1_Income_Statement,Interest Income,81000000.0,86000000.0,81000000.0,70000000.0,88000000.0,96000000.0,76000000.0,60000000.0,95000000.0,89000000.0,71000000.0,59000000.0,55000000.0,33000000.0,16000000.0,7000000.0,5000000.0,2000000.0,5000000.0,3000000.0,1000000.0,-3000000.0,3000000.0,8000000.0,16000000.0,20000000.0,26000000.0,24000000.0,27000000.0,43000000.0,31000000.0,31000000.0,17000000.0,12000000.0,15000000.0,14000000.0,15000000.0,11000000.0,12000000.0,10000000.0,10000000.0,5000000.0,5000000.0,6000000.0,9000000.0,7000000.0,8000000.0,6000000.0,7000000.0,8000000.0,11000000.0,11000000.0,8000000.0,10000000.0,9000000.0,9000000.0,9000000.0,,,,
1_Income_Statement,Gain/Loss on Investments,-66000000.0,-102000000.0,41000000.0,29000000.0,-32000000.0,41000000.0,-62000000.0,-13000000.0,6000000.0,34000000.0,-6000000.0,123000000.0,-212000000.0,-12000000.0,60000000.0,-117000000.0,-76000000.0,111000000.0,197000000.0,243000000.0,94000000.0,220000000.0,-91000000.0,75000000.0,-174000000.0,119000000.0,-100000000.0,143000000.0,5000000.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_Income_Statement,Equity Method Income,,,,,,,-62000000.0,-13000000.0,6000000.0,34000000.0,-6000000.0,123000000.0,-212000000.0,-12000000.0,60000000.0,-117000000.0,-76000000.0,111000000.0,197000000.0,243000000.0,94000000.0,220000000.0,-91000000.0,75000000.0,-174000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1_Income_Statement,Other Income / (Expense),75000000.0,143000000.0,2000000.0,16000000.0,5000000.0,1000000.0,7000000.0,9000000.0,3000000.0,-26000000.0,3000000.0,10000000.0,6000000.0,11000000.0,4000000.0,4000000.0,4000000.0,-9000000.0,7000000.0,-3000000.0,5000000.0,-2000000.0,3000000.0,1000000.0,3000000.0,1000000.0,16000000.0,6000000.0,4000000.0,-15000000.0,-6000000.0,3000000.0,4000000.0,-9000000.0,11000000.0,0.0,-4000000.0,-33000000.0,-26000000.0,-3000000.0,-1000000.0,-75000000.0,-7000000.0,1000000.0,-3000000.0,-2000000.0,1000000.0,-1000000.0,-5000000.0,-10000000.0,-8000000.0,-1000000.0,-8000000.0,-8000000.0,-3000000.0,-7000000.0,-3000000.0,,,,
1_Income_Statement,Total Non-operating Income,-95000000.0,-34000000.0,-62000000.0,-105000000.0,-118000000.0,-47000000.0,-138000000.0,-97000000.0,-46000000.0,-51000000.0,-83000000.0,48000000.0,-283000000.0,-95000000.0,-40000000.0,-220000000.0,-177000000.0,-4000000.0,99000000.0,137000000.0,-7000000.0,110000000.0,-190000000.0,-17000000.0,-224000000.0,76000000.0,-121000000.0,122000000.0,-10000000.0,-19000000.0,-23000000.0,-14000000.0,-22000000.0,-38000000.0,-9000000.0,-25000000.0,-28000000.0,-52000000.0,-37000000.0,-15000000.0,-11000000.0,-82000000.0,-17000000.0,-10000000.0,-11000000.0,-11000000.0,-2000000.0,-10000000.0,-4000000.0,-9000000.0,6000000.0,5000000.0,-5000000.0,-5000000.0,2000000.0,-1000000.0,0.0,,,,
1_Income_Statement,Pretax Income: Other Adjustments,0.0,-2000000.0,0.0,-25000000.0,3000000.0,-1000000.0,62000000.0,13000000.0,-6000000.0,-34000000.0,6000000.0,-123000000.0,212000000.0,12000000.0,-60000000.0,117000000.0,76000000.0,-111000000.0,-197000000.0,-243000000.0,-94000000.0,-220000000.0,91000000.0,-75000000.0,174000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29000000.0,-285000000.0,-277000000.0,-274000000.0
